 totalejemplos 6246
 total INF 3988
 total NAV 2258
 total RES 4239

 distance distManhattanINF 5615.1808983194705
 distance distManhattanNAV 3722.160566509291
 distance distManhattanRES 5615.181149071727
 
 police, 	NAV 
 etiquette, 	NAV 
 potawatomi, 	INF 
 fund, 	INF 
 head, 	NAV 
 robert, 	NAV 
 hilton, 	NAV 
 cake, 	INF 
 celtic, 	INF 
 visitors, 	INF 
 immunizations, 	NAV 
 offenders, 	INF 
 hemet, 	INF 
 sheraton, 	INF 
 tullys, 	INF 
 lift, 	INF 
 town, 	NAV 
 characters, 	INF 
 dissolve, 	NAV 
 soil, 	NAV 
 pines, 	INF 
 watercolor, 	INF 
 call, 	NAV 
 gwinnett, 	INF 
 20is, 	NAV 
 hyper, 	NAV 
 paper, 	NAV 
 hacer, 	NAV 
 burton, 	NAV 
 virus, 	NAV 
 pipe, 	INF 
 eclipse, 	NAV 
 hanging, 	NAV 
 officers, 	NAV 
 rider, 	NAV 
 39th, 	INF 
 parker, 	INF 
 rides, 	INF 
 raymond, 	INF 
 full, 	NAV 
 glass, 	NAV 
 making, 	NAV 
 students, 	NAV 
 catalytic, 	INF 
 check, 	INF 
 awol, 	INF 
 jeans, 	NAV 
 century, 	INF 
 sanford, 	INF 
 soft, 	NAV 
 tejas, 	INF 
 autocad, 	INF 
 dred, 	NAV 
 toys, 	NAV 
 pastry, 	INF 
 savol, 	INF 
 minerals, 	NAV 
 average, 	INF 
 4-h, 	NAV 
 jimmy, 	NAV 
 freedom, 	INF 
 mellot, 	NAV 
 kim, 	NAV 
 visit, 	NAV 
 kia, 	NAV 
 lynn, 	NAV 
 becoming, 	INF 
 she, 	RES 
 jerez, 	NAV 
 slippery, 	NAV 
 sears, 	INF 
 something, 	INF 
 yevonne, 	INF 
 pussy, 	NAV 
 black, 	NAV 
 anbu, 	INF 
 florida-, 	NAV 
 saline, 	INF 
 moving, 	INF 
 death, 	INF 
 convention, 	NAV 
 continental, 	NAV 
 carteret, 	INF 
 snakes, 	INF 
 neverland, 	NAV 
